INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (42, 10709, 3720, 12, 6136, 4.8, 1.2, 2.25, 'Estadual', 'Universidade de São Paulo', 'Universidade', 31.29, 3.89, 18.0, 3.96, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (125, 11610, 3702, 9, 18637, 2.66, 3.71, 1.18, 'Estadual', 'Universidade Estadual de Campinas', 'Universidade', 31.76, 3.6, 17.45, 3.88, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (99, 15409, 3335, 4, 18944, 3.45, 3.05, 4.8, 'Federal', 'Universidade Federal do Rio Grande do Sul', 'Centro Universitário', 31.32, 3.49, 16.9, 3.76, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (67, 11078, 3499, 7, 19602, 3.82, 2.57, 3.39, 'Federal', 'Universidade Federal do Rio de Janeiro', 'Faculdade', 30.84, 3.87, 17.73, 3.76, 'RJ');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (171, 17367, 3298, 6, 15234, 4.45, 4.8, 1.45, 'Federal', 'Universidade Federal de Minas Gerais', 'Centro Universitário', 29.84, 3.65, 17.91, 3.59, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (11, 18383, 3479, 5, 11156, 2.8, 1.78, 2.64, 'Estadual', 'Universidade Estadual Paulista Júlio de Mesquita Filho', 'Faculdade', 30.85, 3.17, 17.45, 3.65, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (198, 17282, 3619, 15, 11067, 3.53, 1.07, 2.51, 'Federal', 'Universidade Federal de Santa Catarina', 'Escola de Governo', 30.99, 3.38, 15.81, 3.68, 'SC');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (12, 15425, 3145, 6, 6497, 1.78, 1.35, 3.22, 'Federal', 'Universidade Federal do Paraná', 'Escola de Governo', 29.97, 3.66, 16.9, 3.38, 'PR');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (69, 16767, 3420, 7, 27406, 2.01, 2.19, 3.82, 'Federal', 'Universidade de Brasília', 'Faculdade', 30.81, 3.2, 16.08, 3.61, 'DF');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (27, 14652, 3245, 6, 21625, 1.94, 3.05, 1.03, 'Federal', 'Universidade Federal de Pernambuco', 'Faculdade', 29.72, 3.23, 17.27, 3.21, 'PE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (66, 10193, 3848, 19, 14021, 1.03, 3.43, 1.35, 'Federal', 'Universidade Federal de São Carlos', 'Escola de Governo', 30.53, 2.87, 13.52, 3.46, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (163, 18983, 3889, 8, 20010, 1.35, 2.67, 3.85, 'Federal', 'Universidade Federal de São Paulo', 'Faculdade', 30.27, 3.0, 10.14, 3.83, 'SP');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (144, 11473, 3935, 18, 12419, 1.5, 2.4, 4.26, 'Federal', 'Universidade Federal Fluminense', 'Faculdade', 29.59, 3.1, 16.63, 3.05, 'RJ');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (91, 13984, 3861, 19, 5749, 2.9, 3.83, 1.73, 'Federal', 'Universidade Federal de Viçosa', 'Escola de Governo', 30.04, 3.68, 12.15, 3.1, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (115, 18966, 3456, 3, 13172, 4.29, 3.15, 4.43, 'Federal', 'Universidade Federal do Rio Grande do Norte', 'Institutos Federais', 27.27, 2.88, 15.53, 3.47, 'RN');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (71, 15791, 3326, 10, 18650, 4.69, 4.11, 1.37, 'Federal', 'Universidade Federal da Bahia', 'Institutos Federais', 26.4, 3.3, 17.27, 3.2, 'BA');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (15, 18780, 3955, 11, 22161, 4.39, 4.93, 1.49, 'Federal', 'Universidade Federal do Ceará', 'Centro Universitário', 26.45, 3.01, 16.63, 3.45, 'CE');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (57, 19004, 3170, 8, 27822, 1.47, 4.81, 1.5, 'Federal', 'Universidade Federal de Uberlândia', 'Faculdade', 28.7, 3.35, 14.44, 2.93, 'MG');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (118, 13634, 3619, 12, 15586, 1.52, 3.28, 2.79, 'Privada', 'Pontifícia Universidade Católica do Rio Grande do Sul', 'Institutos Federais', 25.21, 3.26, 16.63, 3.55, 'RS');
INSERT INTO ies (codigoemecies, nlivrosbiblioteca, npcsdisponiveis, nlabs, nalunos, ci, igc, ci_ead, tipo, nome, orgacademica, notaensinoruf, notrufinovacao, notarufmercado, notarufinternacionalizacao, localizacao) VALUES (65, 15805, 3471, 7, 27410, 2.94, 4.81, 3.95, 'Estadual', 'Universidade do Estado do Rio de Janeiro', 'Centro Universitário', 26.38, 3.17, 17.27, 3.25, 'RJ');
