INSERT INTO possui (codigoEMecIES, codigoEMecCurso, quantidade) VALUES
(1, 1318, 31),
(1, 1253, 31),
(1, 1366, 31),
(1, 1360, 31),
(1, 1018, 31),
(1, 1374, 31),
(1, 1350, 31),
(1, 1272, 31),
(1, 1086, 31),
(1, 1146, 31),
(1, 1269, 31),
(1, 1287, 31),
(1, 1129, 31),
(1, 1017, 31),
(1, 1055, 31),
(1, 1047, 31),
(1, 1377, 31),
(1, 1375, 31),
(1, 1040, 31),
(1, 1157, 31),
(1, 1173, 31),
(1, 1164, 31),
(1, 1381, 31),
(1, 1273, 31),
(1, 1000, 31),
(1, 1123, 31),
(1, 1007, 31),
(1, 1033, 31),
(1, 1217, 31),
(1, 1013, 31),
(1, 1155, 31),
(2, 1146, 6),
(2, 1242, 6),
(2, 1329, 6),
(2, 1038, 6),
(2, 1142, 6),
(2, 1064, 6),
(3, 1215, 132),
(3, 1132, 132),
(3, 1096, 132),
(3, 1023, 132),
(3, 1027, 132),
(3, 1081, 132),
(3, 1176, 132),
(3, 1037, 132),
(3, 1056, 132),
(3, 1308, 132),
(3, 1218, 132),
(3, 1146, 132),
(3, 1117, 132),
(3, 1097, 132),
(3, 1303, 132),
(3, 1067, 132),
(3, 1373, 132),
(3, 1167, 132),
(3, 1360, 132),
(3, 1021, 132),
(3, 1102, 132),
(3, 1155, 132),
(3, 1190, 132),
(3, 1283, 132),
(3, 1119, 132),
(3, 1297, 132),
(3, 1244, 132),
(3, 1339, 132),
(3, 1134, 132),
(3, 1040, 132),
(3, 1252, 132),
(3, 1251, 132),
(3, 1245, 132),
(3, 1196, 132),
(3, 1075, 132),
(3, 1160, 132),
(3, 1002, 132),
(3, 1304, 132),
(3, 1298, 132),
(3, 1240, 132),
(3, 1087, 132),
(3, 1351, 132),
(3, 1294, 132),
(3, 1372, 132),
(3, 1144, 132),
(3, 1221, 132),
(3, 1306, 132),
(3, 1350, 132),
(3, 1101, 132),
(3, 1222, 132),
(3, 1284, 132),
(3, 1291, 132),
(3, 1109, 132),
(3, 1018, 132),
(3, 1287, 132),
(3, 1148, 132),
(3, 1193, 132),
(3, 1013, 132),
(3, 1063, 132),
(3, 1074, 132),
(3, 1031, 132),
(3, 1048, 132),
(3, 1366, 132),
(3, 1045, 132),
(3, 1254, 132),
(3, 1343, 132),
(3, 1090, 132),
(3, 1163, 132),
(3, 1361, 132),
(3, 1043, 132),
(3, 1217, 132),
(3, 1377, 132),
(3, 1353, 132),
(3, 1115, 132),
(3, 1008, 132),
(3, 1247, 132),
(3, 1179, 132),
(3, 1272, 132),
(3, 1184, 132),
(3, 1165, 132),
(3, 1268, 132),
(3, 1068, 132),
(3, 1323, 132),
(3, 1282, 132),
(3, 1257, 132),
(3, 1168, 132),
(3, 1329, 132),
(3, 1036, 132),
(3, 1255, 132),
(3, 1014, 132),
(3, 1028, 132),
(3, 1328, 132),
(3, 1241, 132),
(3, 1256, 132),
(3, 1092, 132),
(3, 1364, 132),
(3, 1114, 132),
(3, 1121, 132),
(3, 1136, 132),
(3, 1126, 132),
(3, 1019, 132),
(3, 1149, 132),
(3, 1142, 132),
(3, 1359, 132),
(3, 1033, 132),
(3, 1228, 132),
(3, 1010, 132),
(3, 1137, 132),
(3, 1381, 132),
(3, 1288, 132),
(3, 1250, 132),
(3, 1210, 132),
(3, 1327, 132),
(3, 1061, 132),
(3, 1039, 132),
(3, 1316, 132),
(3, 1106, 132),
(3, 1344, 132),
(3, 1279, 132),
(3, 1266, 132),
(3, 1057, 132),
(3, 1066, 132),
(3, 1292, 132),
(3, 1223, 132),
(3, 1370, 132),
(3, 1107, 132),
(3, 1127, 132),
(3, 1337, 132),
(3, 1201, 132),
(3, 1147, 132),
(3, 1047, 132),
(3, 1070, 132),
(4, 1134, 99),
(4, 1161, 99),
(4, 1210, 99),
(4, 1221, 99),
(4, 1191, 99),
(4, 1073, 99),
(4, 1279, 99),
(4, 1350, 99),
(4, 1157, 99),
(4, 1102, 99),
(4, 1129, 99),
(4, 1163, 99),
(4, 1046, 99),
(4, 1278, 99),
(4, 1144, 99),
(4, 1005, 99),
(4, 1315, 99),
(4, 1122, 99),
(4, 1260, 99),
(4, 1308, 99),
(4, 1189, 99),
(4, 1019, 99),
(4, 1003, 99),
(4, 1058, 99),
(4, 1219, 99),
(4, 1131, 99),
(4, 1274, 99),
(4, 1197, 99),
(4, 1224, 99),
(4, 1167, 99),
(4, 1158, 99),
(4, 1148, 99),
(4, 1228, 99),
(4, 1178, 99),
(4, 1053, 99),
(4, 1217, 99),
(4, 1283, 99),
(4, 1080, 99),
(4, 1151, 99),
(4, 1292, 99),
(4, 1152, 99),
(4, 1074, 99),
(4, 1012, 99),
(4, 1310, 99),
(4, 1257, 99),
(4, 1344, 99),
(4, 1014, 99),
(4, 1243, 99),
(4, 1060, 99),
(4, 1238, 99),
(4, 1313, 99),
(4, 1054, 99),
(4, 1076, 99),
(4, 1209, 99),
(4, 1237, 99),
(4, 1035, 99),
(4, 1016, 99),
(4, 1375, 99),
(4, 1348, 99),
(4, 1090, 99),
(4, 1366, 99),
(4, 1182, 99),
(4, 1146, 99),
(4, 1359, 99),
(4, 1010, 99),
(4, 1067, 99),
